,sync_index,point_id,x_coord,y_coord,z_coord
0,0,0,-0.02575727989464963,-0.5099557999444047,0.09842516430065494
1,0,1,-0.01237767061860847,-0.5325324837991248,0.13104010692867055
2,0,2,0.0010590401281508333,-0.537039544878068,0.1345013829918281
3,0,3,0.01344363835326117,-0.5400417004264116,0.1389124384333272
4,0,4,-0.045625070364945064,-0.5057129883714375,0.12843083842532402
5,0,5,-0.053931299814739396,-0.49728745172004474,0.12950986483763902
6,0,6,-0.062142079555846844,-0.4879558633023103,0.13188044352100514
7,0,7,0.03705216303251457,-0.5363886879678492,0.1473477101495726
8,0,8,-0.07191196051462202,-0.43233892854422007,0.14899096681828297
9,0,9,0.011352456284371665,-0.497597551764618,0.0819777999255062
10,0,10,-0.03170043730687791,-0.4736653582115547,0.07413493426506754
11,0,11,0.14193987732515118,-0.48980977969090284,0.08441778375878681
12,0,12,-0.0916712877409629,-0.2855475997567143,0.06789215196846027
13,0,13,0.27965822966367715,-0.490786412425152,-0.13535254397105476
14,0,14,-0.07609311189079432,-0.15678056653031022,-0.2446841935826376
15,0,23,0.20770697256819015,-0.2830900806170922,-0.16913889383554218
16,0,24,0.05317904108939592,-0.21208292579309174,-0.18743347557364273
17,0,25,0.23358386894472866,-0.3228146109225435,-0.30450331311889317
18,0,26,0.03862623052967524,-0.22788633937515063,-0.3278086281021167
19,0,27,0.313642508333844,-0.2074572305254203,-0.39805375335868504
20,0,28,0.05051511821713151,-0.2693815852151367,-0.32045597578180096
21,0,29,0.3399469626084822,-0.1427278610399491,-0.4211416625442504
22,0,30,0.09485080352868931,-0.22008850099511387,-0.33720930319592635
23,0,31,0.3621896490083148,-0.1961669063285375,-0.5499098152915615
24,0,500,-0.02601542094659459,-0.5300620686935124,0.06559300136256145
25,0,504,-0.03609962662359654,-0.5538990281137267,0.08511799682370261
26,0,633,-0.046136029215948136,-0.5299559899006103,0.1309530532915788
27,0,699,-0.012891503636815405,-0.5020248907169387,0.03238815333640564
28,0,746,-0.06751970721306493,-0.5113936884660607,0.13611084753049635
29,0,862,-0.015545359192260131,-0.5433594499699795,0.13130016593635108
30,0,966,0.010961965451498284,-0.5501835985072265,0.13693111761112162
31,1,0,-0.02547584868872956,-0.5028533906449039,0.09822974128836867
32,1,1,-0.012441892267510421,-0.5300574367004636,0.1316091773836184
33,1,2,0.0004894373782788082,-0.5357069328034665,0.13497181622509133
34,1,3,0.013325479094574308,-0.5391268465008576,0.1396544774885191
35,1,4,-0.04654621203510773,-0.4968354230633822,0.12990941206407275
36,1,5,-0.05572067497632003,-0.4843352320678537,0.13170163438621652
37,1,6,-0.06447037301248103,-0.4722953253456502,0.134651191238774
38,1,7,0.03767193697327691,-0.5348654766721729,0.14864288870456244
39,1,8,-0.07407001835599633,-0.43440070319669716,0.1486052691822746
40,1,9,0.0100855749655633,-0.49566031556256884,0.07982002273003548
41,1,10,-0.03173936113101316,-0.4630936639192395,0.07346901065818419
42,1,11,0.1434992324146244,-0.48800695050972065,0.08161975575931313
43,1,12,-0.09113829222834041,-0.2930452237964884,0.06814926777299961
44,1,13,0.2765085133578813,-0.4909539232931504,-0.13495272995283872
45,1,14,-0.07716594904120593,-0.15798829186303176,-0.2400227746987055
46,1,23,0.20025666489053473,-0.3051828227558715,-0.1784556213043427
47,1,24,0.052585211566539315,-0.21133834004821492,-0.19601284864256882
48,1,25,0.24042717835503336,-0.3147613224800757,-0.31481244942565983
49,1,26,0.04305386359256343,-0.25073910879963884,-0.32688840980133266
50,1,27,0.3369151525029659,-0.1296867404607183,-0.46769131199623093
51,1,28,0.06357143466649456,-0.2656030826140463,-0.33711232663987156
52,1,29,0.3289272958386899,-0.15123874163158815,-0.44070335660008575
53,1,30,0.10262367517304484,-0.23082177487716685,-0.3534555541440881
54,1,500,-0.02646787009041529,-0.5310586612915122,0.06530824266028538
55,1,504,-0.03735939051673241,-0.5553571501676892,0.08431951091155734
56,1,633,-0.048041885778295754,-0.532651416916783,0.1300509586753001
57,1,699,-0.013251732550439543,-0.5036601357051215,0.03324672594108524
58,1,746,-0.07041781183696771,-0.5151686830886326,0.13467053047598837
59,1,862,-0.01591387740516327,-0.5447502092673314,0.1308943416918293
60,1,966,0.010948264031820136,-0.5501933384938141,0.13667915398200864
61,2,0,-0.02426579545952791,-0.5020616486222274,0.09608928225628846
62,2,1,-0.012742893637516517,-0.5298399256765063,0.1296245107374639
63,2,2,0.000751027364298421,-0.5357543399155469,0.13405112177777107
64,2,3,0.01404726825124405,-0.5389161014042501,0.13829886053869267
65,2,4,-0.04658226333976668,-0.49675002983612265,0.12869795874140902
66,2,5,-0.05543196478110779,-0.4853594357138093,0.13096162865951985
67,2,6,-0.06410667780082319,-0.4733121612741626,0.13451596097069154
68,2,7,0.038644125133364834,-0.5332938931951982,0.1490996516965388
69,2,8,-0.07589300489854604,-0.4356744809880659,0.1498491336816084
70,2,9,0.008596562084926871,-0.4969310036677683,0.07581582295549026
71,2,10,-0.030309886277515012,-0.46277921215608897,0.07147700093205298
72,2,11,0.14642114050782623,-0.48618719779836167,0.08019494798634083
